# Residuals  
# Time       	Ux           	Uy           	p            
342          	5.279030e-10	6.583130e-10	5.273750e-07
343          	5.207720e-10	6.402080e-10	5.274120e-07
344          	5.137850e-10	6.226250e-10	5.274480e-07
345          	5.069160e-10	6.055510e-10	5.274830e-07
346          	5.001810e-10	5.889590e-10	5.275180e-07
347          	4.935960e-10	5.728940e-10	5.275510e-07
348          	4.871320e-10	5.572880e-10	5.275840e-07
349          	4.807620e-10	5.421230e-10	5.276160e-07
350          	4.744730e-10	5.273870e-10	5.276480e-07
351          	4.682640e-10	5.130660e-10	5.276780e-07
352          	4.621350e-10	4.991490e-10	5.277080e-07
353          	4.560840e-10	4.856410e-10	5.277380e-07
354          	4.501110e-10	4.725370e-10	5.277660e-07
355          	4.442140e-10	4.598020e-10	5.277950e-07
356          	4.383930e-10	4.474250e-10	5.278230e-07
357          	4.326460e-10	4.354040e-10	5.278500e-07
358          	4.269720e-10	4.237510e-10	5.278770e-07
359          	4.213710e-10	4.124270e-10	5.279030e-07
360          	4.158420e-10	4.014330e-10	5.279290e-07
361          	4.103840e-10	3.907640e-10	5.279540e-07
362          	4.049950e-10	3.803940e-10	5.279780e-07
363          	3.996760e-10	3.703150e-10	5.280020e-07
364          	3.944240e-10	3.605180e-10	5.280250e-07
365          	3.892400e-10	3.510250e-10	5.280480e-07
366          	3.841230e-10	3.418090e-10	5.280700e-07
367          	3.790710e-10	3.328530e-10	5.280920e-07
368          	3.740840e-10	3.241610e-10	5.281130e-07
369          	3.691610e-10	3.157150e-10	5.281340e-07
370          	3.643010e-10	3.075240e-10	5.281540e-07
371          	3.595030e-10	2.995870e-10	5.281740e-07
372          	3.547670e-10	2.918850e-10	5.281930e-07
373          	3.500920e-10	2.844000e-10	5.282120e-07
374          	3.454770e-10	2.771340e-10	5.282310e-07
375          	3.409210e-10	2.700840e-10	5.282490e-07
376          	3.364240e-10	2.632540e-10	5.282660e-07
377          	3.319850e-10	2.566130e-10	5.282830e-07
378          	3.276030e-10	2.501590e-10	5.283000e-07
379          	3.232770e-10	2.438860e-10	5.283170e-07
380          	3.190070e-10	2.377870e-10	5.283330e-07
381          	3.147920e-10	2.318780e-10	5.283480e-07
382          	3.106310e-10	2.261560e-10	5.283630e-07
383          	3.065240e-10	2.205950e-10	5.283780e-07
384          	3.024700e-10	2.151870e-10	5.283930e-07
385          	2.984690e-10	2.099270e-10	5.284070e-07
386          	2.945190e-10	2.048310e-10	5.284210e-07
387          	2.906200e-10	1.998860e-10	5.284340e-07
388          	2.867710e-10	1.950750e-10	5.284480e-07
389          	2.829720e-10	1.903970e-10	5.284610e-07
390          	2.792220e-10	1.858660e-10	5.284740e-07
391          	2.755210e-10	1.814830e-10	5.284870e-07
392          	2.718680e-10	1.772370e-10	5.284990e-07
393          	2.682620e-10	1.731120e-10	5.285110e-07
394          	2.647020e-10	1.690990e-10	5.285230e-07
395          	2.611890e-10	1.652130e-10	5.285350e-07
396          	2.577210e-10	1.614350e-10	5.285460e-07
397          	2.542990e-10	1.577590e-10	5.285570e-07
398          	2.509210e-10	1.541820e-10	5.285670e-07
399          	2.475860e-10	1.507210e-10	5.285780e-07
400          	2.442950e-10	1.473540e-10	5.285880e-07
401          	2.410470e-10	1.440910e-10	5.285980e-07
402          	2.378410e-10	1.409220e-10	5.286080e-07
403          	2.346760e-10	1.378480e-10	5.286170e-07
404          	2.315530e-10	1.348720e-10	5.286260e-07
405          	2.284700e-10	1.319780e-10	5.286350e-07
406          	2.254280e-10	1.291730e-10	5.286440e-07
407          	2.224250e-10	1.264590e-10	5.286530e-07
408          	2.194610e-10	1.238240e-10	5.286610e-07
409          	2.165360e-10	1.212590e-10	5.286690e-07
410          	2.136490e-10	1.187710e-10	5.286770e-07
411          	2.108000e-10	1.163500e-10	5.286850e-07
412          	2.079880e-10	1.140160e-10	5.286920e-07
413          	2.052130e-10	1.117540e-10	5.287000e-07
414          	2.024740e-10	1.095520e-10	5.287070e-07
415          	1.997700e-10	1.074060e-10	5.287140e-07
416          	1.971030e-10	1.053210e-10	5.287210e-07
417          	1.944700e-10	1.033040e-10	5.287270e-07
418          	1.918710e-10	1.013730e-10	5.287340e-07
419          	1.893070e-10	9.949080e-11	5.287400e-07
420          	1.867760e-10	9.765590e-11	5.287460e-07
421          	1.842780e-10	9.586930e-11	5.287520e-07
422          	1.818130e-10	9.414510e-11	5.287580e-07
423          	1.793800e-10	9.246470e-11	5.287640e-07
424          	1.769790e-10	9.082670e-11	5.287690e-07
425          	1.746100e-10	8.923720e-11	5.287750e-07
426          	1.722720e-10	8.770260e-11	5.287800e-07
427          	1.699640e-10	8.621770e-11	5.287850e-07
428          	1.676870e-10	8.476740e-11	5.287900e-07
429          	1.654400e-10	8.335260e-11	5.287950e-07
430          	1.632220e-10	8.198090e-11	5.288000e-07
