# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
0.0809524      	p_rgh          	-1.68795614e+00	(0.00000000e+00 4.70000000e-01 6.70000000e-01)	0	6.85841604e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.0809524      	U              	(-3.98208125e-01 -9.73678783e-01 -4.63952878e-01)	(5.00000000e-02 7.10000000e-01 7.10000000e-01)	3	(1.03537942e-01 5.65940650e-01 2.85731569e-01)	(1.00000000e-02 4.70000000e-01 5.30000000e-01)	0
0.0809524      	alpha.water    	-9.57501930e-11	(0.00000000e+00 4.30000000e-01 6.90000000e-01)	0	1.00000097e+00	(1.00000000e-02 5.70000000e-01 5.70000000e-01)	3
0.0873016      	p              	-7.17465474e+01	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0	1.96025153e+03	(1.00000000e-02 0.00000000e+00 6.30000000e-01)	0
0.0873016      	p_rgh          	-2.23796910e+00	(3.00000000e-02 4.70000000e-01 6.30000000e-01)	0	6.85857373e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.0873016      	U              	(-2.58153538e-01 -1.41573458e+00 -5.19548998e-01)	(3.00000000e-02 7.10000000e-01 7.10000000e-01)	3	(6.72450680e-02 4.96814735e-01 3.07425848e-01)	(1.00000000e-02 4.50000000e-01 5.10000000e-01)	0
0.0873016      	alpha.water    	-6.08384929e-09	(0.00000000e+00 6.90000000e-01 7.30000000e-01)	3	1.00000108e+00	(1.00000000e-02 5.10000000e-01 5.70000000e-01)	0
0.0936508      	p              	-7.31011215e+01	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0	1.96026736e+03	(7.00000000e-02 0.00000000e+00 6.30000000e-01)	0
0.0936508      	p_rgh          	-2.33191538e+00	(5.00000000e-02 4.50000000e-01 5.90000000e-01)	0	6.85869252e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.0936508      	U              	(-2.73251844e-01 -1.43753352e-01 -4.29971016e-01)	(1.10000000e-01 4.50000000e-01 4.70000000e-01)	0	(7.21373965e-02 4.66316279e-01 3.35088954e-01)	(1.00000000e-02 4.50000000e-01 5.10000000e-01)	0
0.0936508      	alpha.water    	-1.18299605e-08	(0.00000000e+00 6.90000000e-01 7.30000000e-01)	3	1.00000100e+00	(1.00000000e-02 5.10000000e-01 6.30000000e-01)	0
0.1            	p              	-7.43313630e+01	(1.00000000e-02 5.10000000e-01 5.90000000e-01)	0	1.96026774e+03	(1.10000000e-01 0.00000000e+00 6.30000000e-01)	0
0.1            	p_rgh          	-2.52747089e+00	(5.00000000e-02 4.50000000e-01 5.90000000e-01)	0	6.85880176e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.1            	U              	(-4.03283742e-01 -8.17130349e-01 -4.06386158e-01)	(5.00000000e-02 7.10000000e-01 7.10000000e-01)	3	(6.73921993e-02 4.38063318e-01 3.55518694e-01)	(1.00000000e-02 4.50000000e-01 5.10000000e-01)	0
0.1            	alpha.water    	-6.74755422e-09	(0.00000000e+00 6.90000000e-01 7.30000000e-01)	3	1.00000086e+00	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0
0.107143       	p              	-7.54160534e+01	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0	1.96031665e+03	(1.10000000e-01 0.00000000e+00 6.30000000e-01)	0
0.107143       	p_rgh          	-2.49528007e+00	(5.00000000e-02 4.50000000e-01 5.90000000e-01)	0	6.85876670e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.107143       	U              	(-2.41397614e-01 -2.78266936e-01 -4.14658374e-01)	(9.00000000e-02 3.90000000e-01 4.90000000e-01)	0	(9.14409049e-02 1.02379926e+00 3.86602094e-01)	(1.00000000e-02 4.50000000e-01 5.30000000e-01)	0
0.107143       	alpha.water    	-4.01189073e-06	(0.00000000e+00 4.70000000e-01 5.10000000e-01)	0	1.00000096e+00	(5.00000000e-02 5.10000000e-01 5.70000000e-01)	0
0.114286       	p              	-7.60336516e+01	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0	1.96031996e+03	(1.50000000e-01 0.00000000e+00 6.10000000e-01)	0
0.114286       	p_rgh          	-2.33873857e+00	(7.00000000e-02 4.30000000e-01 5.90000000e-01)	0	6.85879957e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.114286       	U              	(-2.49139631e-01 -1.72184621e-01 -4.47433588e-01)	(1.30000000e-01 4.30000000e-01 4.70000000e-01)	0	(2.53521331e-01 4.95962520e-01 4.25397651e-01)	(3.00000000e-02 4.50000000e-01 5.50000000e-01)	0
0.114286       	alpha.water    	-2.53603066e-05	(3.00000000e-02 4.50000000e-01 6.90000000e-01)	0	1.00000207e+00	(3.00000000e-02 5.10000000e-01 6.10000000e-01)	0
0.121429       	p              	-7.63243045e+01	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0	1.96032545e+03	(1.50000000e-01 0.00000000e+00 6.10000000e-01)	0
0.121429       	p_rgh          	-1.95503727e+00	(7.00000000e-02 4.30000000e-01 5.90000000e-01)	0	6.85882052e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.121429       	U              	(-4.14592312e-01 -6.96164100e-01 -3.59303766e-01)	(5.00000000e-02 7.10000000e-01 7.10000000e-01)	3	(1.76842461e-01 4.67840874e-01 4.05589793e-01)	(3.00000000e-02 4.30000000e-01 5.30000000e-01)	0
0.121429       	alpha.water    	-2.79021844e-05	(3.00000000e-02 4.50000000e-01 6.90000000e-01)	0	1.00000425e+00	(3.00000000e-02 5.10000000e-01 6.10000000e-01)	0
0.128571       	p              	-7.65203594e+01	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0	1.96034248e+03	(1.70000000e-01 0.00000000e+00 6.10000000e-01)	0
0.128571       	p_rgh          	-1.35071678e+00	(0.00000000e+00 4.70000000e-01 6.70000000e-01)	0	6.85885018e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.128571       	U              	(-2.37720836e-01 -1.49534988e-01 -4.76748736e-01)	(1.10000000e-01 3.50000000e-01 4.90000000e-01)	0	(1.92987005e-01 4.39978817e-01 4.29934617e-01)	(3.00000000e-02 4.30000000e-01 5.30000000e-01)	0
0.128571       	alpha.water    	-2.28336786e-05	(3.00000000e-02 4.50000000e-01 5.10000000e-01)	0	1.00000404e+00	(3.00000000e-02 5.10000000e-01 6.10000000e-01)	0
0.135714       	p              	-7.65983639e+01	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0	1.96038520e+03	(1.90000000e-01 0.00000000e+00 6.10000000e-01)	0
0.135714       	p_rgh          	-1.52616812e+00	(7.00000000e-02 4.10000000e-01 5.90000000e-01)	0	6.85886388e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.135714       	U              	(-2.46664484e-01 -2.43712684e-01 -4.34663401e-01)	(1.50000000e-01 4.10000000e-01 4.70000000e-01)	0	(1.88663651e-01 4.07122347e-01 4.42361666e-01)	(3.00000000e-02 4.30000000e-01 5.30000000e-01)	0
0.135714       	alpha.water    	-8.00613411e-06	(3.00000000e-02 4.70000000e-01 6.90000000e-01)	0	1.00000404e+00	(3.00000000e-02 5.10000000e-01 6.10000000e-01)	0
0.142857       	p              	-7.65539133e+01	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0	1.96039651e+03	(1.90000000e-01 0.00000000e+00 6.10000000e-01)	0
0.142857       	p_rgh          	-1.24942825e+00	(0.00000000e+00 4.70000000e-01 6.70000000e-01)	0	6.85888882e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.142857       	U              	(-2.03622793e-01 -1.93489509e-01 -5.70592812e-01)	(1.30000000e-01 3.30000000e-01 4.90000000e-01)	0	(1.67839009e-01 3.77187818e-01 4.41944562e-01)	(3.00000000e-02 4.30000000e-01 5.30000000e-01)	0
0.142857       	alpha.water    	-6.84616034e-06	(3.00000000e-02 4.70000000e-01 6.90000000e-01)	0	1.00000420e+00	(5.00000000e-02 5.10000000e-01 6.10000000e-01)	0
0.146429       	p              	-7.44421901e+01	(1.00000000e-02 5.10000000e-01 5.90000000e-01)	0	1.96012971e+03	(1.90000000e-01 0.00000000e+00 6.10000000e-01)	0
0.146429       	p_rgh          	-8.06402170e-01	(1.50000000e-01 4.10000000e-01 4.70000000e-01)	0	6.85916964e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.146429       	U              	(-2.23492854e-01 -2.18408977e-01 -5.68236080e-01)	(1.30000000e-01 3.30000000e-01 4.90000000e-01)	0	(1.50934570e-01 3.53040711e-01 4.35697105e-01)	(3.00000000e-02 4.30000000e-01 5.30000000e-01)	0
0.146429       	alpha.water    	-3.96301103e-08	(0.00000000e+00 4.70000000e-01 6.90000000e-01)	0	1.00000314e+00	(5.00000000e-02 5.10000000e-01 6.10000000e-01)	0
0.15           	p              	-7.52307674e+01	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0	1.96024190e+03	(1.70000000e-01 0.00000000e+00 6.10000000e-01)	0
0.15           	p_rgh          	-1.70034460e+00	(1.30000000e-01 4.10000000e-01 4.90000000e-01)	0	6.85916987e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.15           	U              	(-2.42842952e-01 -2.43580121e-01 -5.55282349e-01)	(1.30000000e-01 3.30000000e-01 4.90000000e-01)	0	(1.34925859e-01 3.39154401e-01 4.35731296e-01)	(3.00000000e-02 4.30000000e-01 5.30000000e-01)	0
